,test_id,gene_id
33525,ENSG00000236364.3,ENSG00000236364.3
33526,ENSG00000236365.1,ENSG00000236365.1
33527,ENSG00000236366.2,ENSG00000236366.2
33528,ENSG00000236371.5,ENSG00000236371.5
33529,ENSG00000236372.1,ENSG00000236372.1
33530,ENSG00000236373.1,ENSG00000236373.1
33531,ENSG00000236375.3,ENSG00000236375.3
33532,ENSG00000236376.1,ENSG00000236376.1
33533,ENSG00000236377.1,ENSG00000236377.1
33534,ENSG00000236378.1,ENSG00000236378.1
33535,ENSG00000236379.2,ENSG00000236379.2
33536,ENSG00000236380.5,ENSG00000236380.5
33537,ENSG00000236382.1,ENSG00000236382.1
33538,ENSG00000236383.8,ENSG00000236383.8
33539,ENSG00000236384.7,ENSG00000236384.7
33540,ENSG00000236385.1,ENSG00000236385.1
33541,ENSG00000236386.1,ENSG00000236386.1
33542,ENSG00000236387.1,ENSG00000236387.1
33543,ENSG00000236388.1,ENSG00000236388.1
33544,ENSG00000236389.1,ENSG00000236389.1
33545,ENSG00000236390.1,ENSG00000236390.1
33546,ENSG00000236391.3,ENSG00000236391.3
33547,ENSG00000236393.1,ENSG00000236393.1
33548,ENSG00000236394.2,ENSG00000236394.2
33549,ENSG00000236395.1,ENSG00000236395.1
33550,ENSG00000236396.8,ENSG00000236396.8
33551,ENSG00000236397.3,ENSG00000236397.3
33552,ENSG00000236398.2,ENSG00000236398.2
33553,ENSG00000236400.1,ENSG00000236400.1
33554,ENSG00000236401.1,ENSG00000236401.1
33555,ENSG00000236403.1,ENSG00000236403.1
33556,ENSG00000236404.9,ENSG00000236404.9
33557,ENSG00000236405.1,ENSG00000236405.1
33558,ENSG00000236407.1,ENSG00000236407.1
33559,ENSG00000236408.1,ENSG00000236408.1
33560,ENSG00000236409.2,ENSG00000236409.2
33561,ENSG00000236411.1,ENSG00000236411.1
33562,ENSG00000236412.1,ENSG00000236412.1
33563,ENSG00000236413.2,ENSG00000236413.2
33564,ENSG00000236414.1,ENSG00000236414.1
33565,ENSG00000236417.2,ENSG00000236417.2
33566,ENSG00000236420.1,ENSG00000236420.1
33567,ENSG00000236423.5,ENSG00000236423.5
33568,ENSG00000236424.7,ENSG00000236424.7
33569,ENSG00000236425.1,ENSG00000236425.1
33570,ENSG00000236426.5,ENSG00000236426.5
33571,ENSG00000236427.1,ENSG00000236427.1
33572,ENSG00000236429.1,ENSG00000236429.1
33573,ENSG00000236430.1,ENSG00000236430.1
33574,ENSG00000236431.1,ENSG00000236431.1
33575,ENSG00000236432.7,ENSG00000236432.7
33576,ENSG00000236433.1,ENSG00000236433.1
33577,ENSG00000236434.2,ENSG00000236434.2
33578,ENSG00000236435.1,ENSG00000236435.1
33579,ENSG00000236436.1,ENSG00000236436.1
33580,ENSG00000236437.1,ENSG00000236437.1
33581,ENSG00000236438.7,ENSG00000236438.7
33582,ENSG00000236439.4,ENSG00000236439.4
33583,ENSG00000236440.1,ENSG00000236440.1
33584,ENSG00000236442.1,ENSG00000236442.1
33585,ENSG00000236444.4,ENSG00000236444.4
33586,ENSG00000236445.4,ENSG00000236445.4
33587,ENSG00000236446.3,ENSG00000236446.3
33588,ENSG00000236447.2,ENSG00000236447.2
33589,ENSG00000236449.1,ENSG00000236449.1
33590,ENSG00000236450.1,ENSG00000236450.1
33591,ENSG00000236451.2,ENSG00000236451.2
